wban_mensile; country_state; rain; rainiest_day; rainiest_month; rainiest_country_state; rainiest_value; less_rainy_day; less_rainy_month; less_rainy_country_state; less_rainy_value
25309; Juneau, Alaska; 7.11; 29; Settembre; Little Rock, Arkansas; 262.38; 12; Settembre; Boise, Idaho; 1.52
04804; Columbus, Ohio; 2.53
03954; Oklahoma City, Oklahoma; 2.00
23049; Santa Fe, Nuovo Messico; 3.79
24018; Cheyenne, Wyoming; 6.10
14739; Boston, Massachusetts; 1.94
24131; Boise, Idaho; 1.47
24011; Bismark, North Dakota; 3.88
14939; Lincoln, Nebraska; 1.79
13883; Columbia, South Carolina; 1.77
14735; Albany, New York; 4.23
13722; Raleigh, North Carolina; 2.51
13920; Topeka, Kansas; 2.06
93822; Springfield, Illinois; 1.14
24025; Pierre, South Dakota; 1.09
93067; Denver, Colorado; 6.10
22521; Honolulu, Hawaii; 1.51
24227; Olympia, Washington; 8.17
03940; Jackson, Mississippi; 6.29
03184; Phoenix, Arizona; 2.62
24144; Helena, Montana; 1.31
13895; Montgomery, Alabama; 1.30
14740; Hartford, Connecticut; 3.18
13970; Baton Rouge, Louisiana; 5.94
94705; Montpelier, Vermont; 3.74
13897; Nashville, Tennessee; 3.88
14745; Concord, New Hampshire; 4.20
14792; Trenton, New Jersey; 1.46
03930; Little Rock, Arkansas; 11.08
14836; Lansing, Michigan; 0.94
14837; Madison, Wisconsin; 2.76
53841; Frankfort, Kentucky; 1.90
23185; Carson City, Nevada; 0.08
24232; Salem, Oregon; 6.19
93805; Tallahassee, Florida; 2.81
12971; Austin, Texas; 5.99
53842; Indianapolis, Indiana; 2.04
13740; Richmond, Virginia; 1.23
13866; Charleston, Virginia Occidentale; 2.24
14711; Harrisburg, Pennsylvania; 1.03
23232; Sacramento, California; 0.54
03888; Atlanta, Georgia; 2.60
24127; Salt Lake City, Utah; 1.21
03963; Jefferson City, Missouri; 2.36
14605; Augusta, Maine; 6.45
13752; Annapolis, Maryland; 1.19
14765; Providence, Rhode Island; 3.98
14922; Saint Paul, Minnesota; 1.26
54902; Des Moines, Iowa; 1.79
