wban_mensile; country_state; rain; rainiest_day; rainiest_month; rainiest_country_state; rainiest_value; less_rainy_day; less_rainy_month; less_rainy_country_state; less_rainy_value
25309; Juneau, Alaska; 8.96; 11; Ottobre; Harrisburg, Pennsylvania; 145.54; 19; Ottobre; Hartford, Connecticut; 1.52
04804; Columbus, Ohio; 3.64
03954; Oklahoma City, Oklahoma; 2.17
23049; Santa Fe, Nuovo Messico; 0.80
24018; Cheyenne, Wyoming; 1.71
14739; Boston, Massachusetts; 0.64
24131; Boise, Idaho; 0.71
24011; Bismark, North Dakota; 4.10
14939; Lincoln, Nebraska; 2.37
13883; Columbia, South Carolina; 1.76
14735; Albany, New York; 2.09
13722; Raleigh, North Carolina; 1.45
13920; Topeka, Kansas; 2.67
93822; Springfield, Illinois; 3.12
24025; Pierre, South Dakota; 4.18
93067; Denver, Colorado; 0.43
22521; Honolulu, Hawaii; 0.24
24227; Olympia, Washington; 1.70
03940; Jackson, Mississippi; 1.87
03184; Phoenix, Arizona; 0.06
24144; Helena, Montana; 6.37
13895; Montgomery, Alabama; 0.45
14740; Hartford, Connecticut; 1.90
13970; Baton Rouge, Louisiana; 3.27
94705; Montpelier, Vermont; 2.51
13897; Nashville, Tennessee; 2.02
14745; Concord, New Hampshire; 1.18
14792; Trenton, New Jersey; 1.49
03930; Little Rock, Arkansas; 2.56
14836; Lansing, Michigan; 3.10
14837; Madison, Wisconsin; 1.76
53841; Frankfort, Kentucky; 4.85
23185; Carson City, Nevada; 0.16
24232; Salem, Oregon; 0.66
93805; Tallahassee, Florida; 0.90
12971; Austin, Texas; 3.70
53842; Indianapolis, Indiana; 5.35
13740; Richmond, Virginia; 3.71
13866; Charleston, Virginia Occidentale; 1.22
14711; Harrisburg, Pennsylvania; 9.15
23232; Sacramento, California; 0.00
03888; Atlanta, Georgia; 2.98
24127; Salt Lake City, Utah; 0.77
03963; Jefferson City, Missouri; 2.70
14605; Augusta, Maine; 1.20
13752; Annapolis, Maryland; 0.34
14765; Providence, Rhode Island; 0.66
14922; Saint Paul, Minnesota; 2.77
54902; Des Moines, Iowa; 2.57
