wban_mensile; country_state; rain; rainiest_day; rainiest_month; rainiest_country_state; rainiest_value; less_rainy_day; less_rainy_month; less_rainy_country_state; less_rainy_value
25309; Juneau, Alaska; 2.41; 06; Marzo; Richmond, Virginia; 53.47; 25; Marzo; Honolulu, Hawaii; 1.52
04804; Columbus, Ohio; 2.44
03954; Oklahoma City, Oklahoma; 0.81
23049; Santa Fe, Nuovo Messico; 0.18
24018; Cheyenne, Wyoming; 0.64
14739; Boston, Massachusetts; 1.68
24131; Boise, Idaho; 0.38
24011; Bismark, North Dakota; 1.20
14939; Lincoln, Nebraska; 1.67
13883; Columbia, South Carolina; 3.08
14735; Albany, New York; 2.64
13722; Raleigh, North Carolina; 2.60
13920; Topeka, Kansas; 1.94
93822; Springfield, Illinois; 2.38
24025; Pierre, South Dakota; 0.37
93067; Denver, Colorado; 0.79
22521; Honolulu, Hawaii; 2.56
24227; Olympia, Washington; 3.57
03940; Jackson, Mississippi; 4.72
03184; Phoenix, Arizona; 0.60
24144; Helena, Montana; 0.16
13895; Montgomery, Alabama; 2.80
14740; Hartford, Connecticut; 2.35
13970; Baton Rouge, Louisiana; 2.48
94705; Montpelier, Vermont; 2.16
13897; Nashville, Tennessee; 3.95
14745; Concord, New Hampshire; 1.78
14792; Trenton, New Jersey; 2.37
03930; Little Rock, Arkansas; 4.02
14836; Lansing, Michigan; 2.02
14837; Madison, Wisconsin; 2.35
53841; Frankfort, Kentucky; 3.79
23185; Carson City, Nevada; 0.30
24232; Salem, Oregon; 2.04
93805; Tallahassee, Florida; 3.61
12971; Austin, Texas; 0.57
53842; Indianapolis, Indiana; 1.57
13740; Richmond, Virginia; 4.70
13866; Charleston, Virginia Occidentale; 3.32
14711; Harrisburg, Pennsylvania; 2.27
23232; Sacramento, California; 1.20
03888; Atlanta, Georgia; 3.58
24127; Salt Lake City, Utah; 0.73
03963; Jefferson City, Missouri; 2.16
14605; Augusta, Maine; 1.45
13752; Annapolis, Maryland; 2.65
14765; Providence, Rhode Island; 2.65
14922; Saint Paul, Minnesota; 1.89
54902; Des Moines, Iowa; 1.89
