wban_mensile; country_state; rain; rainiest_day; rainiest_month; rainiest_country_state; rainiest_value; less_rainy_day; less_rainy_month; less_rainy_country_state; less_rainy_value
25309; Juneau, Alaska; 4.95; 31; Maggio; Oklahoma City, Oklahoma; 114.30; 21; Maggio; Frankfort, Kentucky; 1.52
04804; Columbus, Ohio; 1.60
03954; Oklahoma City, Oklahoma; 8.42
23049; Santa Fe, Nuovo Messico; 0.32
24018; Cheyenne, Wyoming; 1.11
14739; Boston, Massachusetts; 2.92
24131; Boise, Idaho; 0.72
24011; Bismark, North Dakota; 6.26
14939; Lincoln, Nebraska; 6.95
13883; Columbia, South Carolina; 3.07
14735; Albany, New York; 5.69
13722; Raleigh, North Carolina; 3.88
13920; Topeka, Kansas; 4.23
93822; Springfield, Illinois; 9.25
24025; Pierre, South Dakota; 3.60
93067; Denver, Colorado; 1.66
22521; Honolulu, Hawaii; 0.77
24227; Olympia, Washington; 3.00
03940; Jackson, Mississippi; 4.43
03184; Phoenix, Arizona; 0.01
24144; Helena, Montana; 1.86
13895; Montgomery, Alabama; 1.39
14740; Hartford, Connecticut; 5.47
13970; Baton Rouge, Louisiana; 5.87
94705; Montpelier, Vermont; 3.64
13897; Nashville, Tennessee; 2.38
14745; Concord, New Hampshire; 3.49
14792; Trenton, New Jersey; 2.94
03930; Little Rock, Arkansas; 4.00
14836; Lansing, Michigan; 3.43
14837; Madison, Wisconsin; 5.63
53841; Frankfort, Kentucky; 3.92
23185; Carson City, Nevada; 0.46
24232; Salem, Oregon; 2.57
93805; Tallahassee, Florida; 0.61
12971; Austin, Texas; 5.65
53842; Indianapolis, Indiana; 3.44
13740; Richmond, Virginia; 2.24
13866; Charleston, Virginia Occidentale; 3.71
14711; Harrisburg, Pennsylvania; 2.38
23232; Sacramento, California; 0.31
03888; Atlanta, Georgia; 4.30
24127; Salt Lake City, Utah; 1.21
03963; Jefferson City, Missouri; 6.46
14605; Augusta, Maine; 5.08
13752; Annapolis, Maryland; 0.80
14765; Providence, Rhode Island; 2.76
14922; Saint Paul, Minnesota; 5.46
54902; Des Moines, Iowa; 7.64
